area,location,date,time,temperature,rock dimensions (cm),area under rock (cm),precipitation?,species,carapace width (cm),sex,color marked,previous color,notes,
1,high tide dock,8/3/18,10:05,75,25.4 x 12.7,322.58,sunny,c. maenas,1.0,,single vertical red stripe,unmarked,very small,
1,high tide dock,8/3/18,10:05,75,25.4 x 12.7,322.58,sunny,c. maenas,1.5,,single vertical red stripe,unmarked,"maybe just molted?, felt soft",
1,high tide dock,8/3/18,10:05,75,25.4 x 12.7,322.58,sunny,c. maenas,3.5,,single vertical red stripe,unmarked,"pretty big, darker green",
1,high tide dock,8/3/18,10:05,75,25.4 x 12.7,322.58,sunny,c. maenas,2.2,,single vertical red stripe,unmarked,tried to run away while I was putting on polish,
1,high tide dock,8/3/18,10:05,75,25.4 x 12.7,322.58,sunny,c. maenas,3.8,,single vertical red stripe,unmarked,large and dark green,
2,big tidepool left,8/3/18,11:00,76,38.1 x 20.32,774.192,sunny,c. maenas,2.1,,single vertical orange stripe,unmarked,"maybe just molted, didn't look healthy",
2,big tidepool left,8/3/18,11:00,76,38.1 x 20.32,774.192,sunny,c. maenas,3.0,,single vertical orange stripe,unmarked,darker green,
2,big tidepool left,8/3/18,11:00,76,38.1 x 20.32,774.192,sunny,c. maenas,2.5,,single vertical orange stripe,unmarked,squirmy,
3,big tidepool right,8/3/18,11:30,77,25.4 x 15.24,387.096,sunny,c. maenas,2.1,,single vertical silver stripe,unmarked,"very light green, felt squishy",
3,big tidepool right,8/3/18,11:30,77,25.4 x 15.24,387.096,sunny,c. maenas,2.3,,single vertical silver stripe,unmarked,very light green,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,c. maenas,2.1,,single vertical pink stripe,unmarked,,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,c. maenas,2.8,,single vertical pink stripe,unmarked,,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,h. sanguineas,2.6,female (gravid),single vertical pink stripe,unmarked,,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,h. sanguineas,3.0,male,single vertical pink stripe,unmarked,,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,h. sanguineas,2.7,female (gravid),single vertical pink stripe,unmarked,,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,h. sanguineas,2.2,female (gravid),single vertical pink stripe,unmarked,,
4,seaweed,8/4/18,10:10,72,45.72x39.37,1799.9964,cloudy,h. sanguineas,2.0,female (gravid),single vertical pink stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,c. maenas,3.0,male,single vertical yellow stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,c. maenas,2.0,male,single vertical yellow stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,2.7,female (gravid),single vertical yellow stripe,unmarked,"missing 1 claw, 1 leg left side",
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,3.2,male,single vertical yellow stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,2.9,female,single vertical yellow stripe,unmarked,"missing 2 legs, 1 claw left side, 1 leg right",
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,2.8,female,single vertical yellow stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,2.0,male,single vertical yellow stripe,unmarked,found again on 8/5/18,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,1.3,male,single vertical yellow stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,2.3,female,single vertical yellow stripe,unmarked,,
5,seaweed,8/4/18,10:30,71,43.18x27.94,1206.4492,cloudy,h. sanguineas,1.9,female (gravid),single vertical yellow stripe,unmarked,,
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,c. maenas,3.2,male,single horizontal red stripe,unmarked,"cracked shell, mid molt?",
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,c. maenas,3.0,female,single horizontal red stripe,unmarked,,
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,c. maenas,1.2,female,single horizontal red stripe,unmarked,,
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,c. maenas,1.3,male,single horizontal red stripe,unmarked,,
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,h. sanguineas,2.4,,single horizontal red stripe,unmarked,,
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,h. sanguineas,2.2,male,single horizontal red stripe,unmarked,,
6,seaweed,8/4/18,11:00,70,30.48x35.56,1083.8688,cloudy,h. sanguineas,1.3,,single horizontal red stripe,unmarked,,
7,seaweed,8/4/18,11:15,68,38.1x17.145,653.2626,drizzling,h. sanguineas,3.0,,single horizontal silver stripe,unmarked,,
7,seaweed,8/4/18,11:15,68,38.1x17.145,653.2626,drizzling,h. sanguineas,2.0,,single horizontal silver stripe,unmarked,,
7,seaweed,8/4/18,11:15,68,38.1x17.145,653.2626,drizzling,h. sanguineas,1.4,,single horizontal silver stripe,unmarked,,
7,seaweed,8/4/18,11:15,68,38.1x17.145,653.2626,drizzling,h. sanguineas,1.3,,single horizontal silver stripe,unmarked,,
4,seaweed,8/5/18,11:15,77,45.72x39.37,1799.9964,sunny,c. maenas,3.4,male,single vertical pink stripe,unmarked,,
5,seaweed,8/5/18,11:20,77,43.18x27.94,1206.4492,sunny,c. maenas,3.0,male,single vertical yellow stripe,unmarked,,
5,seaweed,8/5/18,11:20,77,43.18x27.94,1206.4492,sunny,c. maenas,3.8,female,single vertical yellow stripe,unmarked,,
5,seaweed,8/5/18,11:20,77,43.18x27.94,1206.4492,sunny,h. sanguineas,2.0,male,single vertical yellow stripe,single vertical yellow stripe,see row 25,
5,seaweed,8/5/18,11:20,77,43.18x27.94,1206.4492,sunny,h. sanguineas,2.5,male,single vertical yellow stripe,unmarked,,
5,seaweed,8/5/18,11:20,77,43.18x27.94,1206.4492,sunny,h. sanguineas,2.3,female (gravid),single vertical yellow stripe,unmarked,,
6,seaweed,8/5/18,11:35,78,30.48x35.56,1083.8688,sunny,c. maenas,1.3,female,single horizontal red stripe,unmarked,,
6,seaweed,8/5/18,11:35,78,30.48x35.56,1083.8688,sunny,h. sanguineas,2.2,male,single horizontal red stripe,unmarked,,
7,seaweed,8/5/18,11:45,78,38.1x17.145,653.2626,sunny,c. maenas,1.5,male,single horizontal silver stripe,unmarked,,
